"Source:","C:\Users\malac\Desktop\misc\battery emulator design\battery emulator design 0.1\battery emulator design 0.1.kicad_sch"
"Date:","1/3/2024 3:20:57 PM"
"Tool:","Eeschema (7.0.0)"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","88"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Availability","Check_prices","Description","MF","MP","Package","Price","Purchase-URL","Sim.Device","Sim.Pins","SnapEDA_Link"
"1","20","C1, C2, C3, C4, C12, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29","100nF","Device:C_Polarized","Capacitor_THT:C_Disc_D3.4mm_W2.1mm_P2.50mm","~","","","","","","","","","","","","",""
"2","8","C5, C6, C7, C8, C9, C10, C11, C14","100uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~","","","","","","","","","","","","",""
"3","1","C13","220uF","Device:C_Polarized","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","~","","","","","","","","","","","","",""
"4","1","D1","1N4007","Diode:1N4007","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","","","","","","D","1=K 2=A",""
"5","1","F1","1A","Device:Fuse","BEL RSTA T1A Fuse:FUSE_RST-1-BULK","~","","","","","","","","","","","","",""
"6","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","MountingHole:MountingHole_4.3mm_M4_Pad","~","","","","","","","","","","","","",""
"7","1","IC1","MAX660CPA","MAX660:MAX660CPA","Package_DIP:DIP-8_W7.62mm_LongPads","","","","In Stock","https://www.snapeda.com/parts/MAX660CPA/Analog+Devices/view-part/?ref=eda","Charge Pump Switching Regulator IC Positive or Negative Fixed -Vin, 2Vin 1 Output 100mA 8-DIP (0.300, 7.62mm)","Analog Devices","MAX660CPA","DIP-8 Maxim Integrated","None","https://www.snapeda.com/api/url_track_click_mouser/?unipart_id=3594927&manufacturer=Analog Devices&part_name=MAX660CPA&search_term=max660","","","https://www.snapeda.com/parts/MAX660CPA/Analog+Devices/view-part/?ref=snap"
"8","1","J1","ExtPwrGnd","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"9","1","J5","Barrel_Jack","Connector:Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal","~","","","","","","","","","","","","",""
"10","1","J6","ExtSet1","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"11","1","J7","ExtSet2","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"12","1","J8","ExtSet3","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"13","1","J9","ExtSet4","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"14","1","J10","ExtSetAll","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"15","1","J11","GND_CLIP","Connector:Conn_01x04_Pin","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"16","1","J12","V_Out1","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"17","1","J13","ExtPwr","Connector:Conn_01x01_Pin","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"18","1","J14","GND","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"19","1","J15","V_Out2","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"20","1","J16","V_Out3","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"21","1","J17","V_Out4","Connector:Conn_01x03_Pin","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"22","5","JP1, JP2, JP3, JP4, JP5","Jumper_3_Bridged12","Jumper:Jumper_3_Bridged12","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"23","1","JP6","SetPot","Jumper:Jumper_2_Bridged","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"24","1","JP7","Preset1","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"25","1","JP8","Preset2","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","","",""
"26","4","R5, R10, R15, R20","120R","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","",""
"27","12","R6, R7, R8, R9, R11, R12, R13, R14, R16, R17, R18, R19","100k","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","","","","","","","","","","","","",""
"28","4","R21, R22, R23, R24","R_US","Device:R_US","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~","DNP","","","","","","","","","","","",""
"29","1","RV1","10k","Device:R_Potentiometer_US","Potentiometer_THT:Potentiometer_Bourns_3386C_Horizontal","~","","","","","","","","","","","","",""
"30","4","U1, U3, U5, U7","LM741","Amplifier_Operational:LM741","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm741.pdf","","","","","","","","","","","","",""
"31","4","U2, U4, U6, U8","LM317_TO-220","Regulator_Linear:LM317_TO-220","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf","","","","","","","","","","","","",""
"32","1","U9","L7805","Regulator_Linear:L7805","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf","","","","","","","","","","","","",""
